1,Vårens första blommor har börjat blomma i trädgården.,egna meningar
1,Jag blev upplyft av det stöd jag fick från mina kollegor.,egna meningar
1,Den nya kaffebaren i grannskapet serverar utsökt espresso.,egna meningar
1,Att lyssna på musik på morgonen gör mig glad hela dagen.,egna meningar
1,Jag är tacksam för de lugna stunderna jag får för mig själv.,egna meningar
1,En främmande person hjälpte mig när jag tappade mina saker på gatan.,egna meningar
1,Jag klarade körkortstestet på första försöket!,egna meningar
1,Helgens utflykt till landsbygden var precis vad jag behövde.,egna meningar
1,Min trädgård är full av färgglada blommor och fjärilar.,egna meningar
1,Att tillbringa tid med min familj är det bästa jag vet.,egna meningar
0,Idag är det torsdag och jag har en ledig dag imorgon.,egna meningar
0,Min mobiltelefon behöver laddas snart.  ,egna meningar
0,Jag tänkte baka bröd till helgen.,egna meningar
0,Det finns en ny utställning på museet jag vill besöka.,egna meningar
0,Jag har planerat att städa mitt rum denna eftermiddag.,egna meningar
0,Jag ska byta till vinterdäck på bilen nästa vecka.,egna meningar
0,Det är vanligt att ha en paraply med sig under hösten.,egna meningar
0,Jag såg en katt sitta på ett staket när jag gick hem.,egna meningar
0,Min favoritbok är utlånad från biblioteket just nu.,egna meningar
0,Jag funderar på att starta en ny hobby.,egna meningar
−1,Jag glömde mitt lösenord och kunde inte logga in.,egna meningar
−1,Det är tråkigt när vänner avbokar i sista minuten.,egna meningar
−1,Jag är allergisk mot nötter och måste vara försiktig med vad jag äter.,egna meningar
−1,Det var en besvikelse att konserten ställdes in.,egna meningar
−1,Jag är trött på det ständiga regnet denna vecka.,egna meningar
−1,Det är så frustrerande när folk inte lyssnar.,egna meningar
−1,Jag råkade spilla kaffe på min nya tröja.,egna meningar
−1,Jag hittade en spricka i min mobilskärm idag.,egna meningar
−1,Det är så irriterande med förseningar i kollektivtrafiken.,egna meningar
−1,Jag kände mig utelämnad när jag inte blev inbjuden till festen.,egna meningar
1,Efter en lång dag är en varm kopp te precis vad jag behöver.,egna meningar
1,Jag är så stolt över mina barns framsteg i skolan.,egna meningar
1,En promenad i skogen gör mig alltid lugn och avslappnad.,egna meningar
1,Att se mina vänner lyckas gör mig otroligt glad.,egna meningar
1,Jag har äntligen lärt mig spela min favoritlåt på gitarr.,egna meningar
1,Den nya restaurangen i stan överträffade alla mina förväntningar.,egna meningar
1,Att hitta en bortglömd tjuga i jackfickan gjorde min dag.,egna meningar
1,Vårt teamprojekt fick beröm från chefen idag.,egna meningar
1,Jag vann första pris i den lokala fototävlingen!,egna meningar
1,Min trädgård blomstrar och det känns som ett litet paradis.,egna meningar
0,Jag lägger mina nycklar alltid på samma plats.,egna meningar
0,Det är dags för årets influensavaccin snart.,egna meningar
0,Jag läser oftast nyheterna på morgonen.,egna meningar
0,Jag funderar på att byta mobiltelefonmodell.,egna meningar
0,"I morgon är en annan dag, som de säger.",egna meningar
