sentence
"[{'label': 'NEUTRAL', 'score': 0.7267245054244995}]"
"[{'label': 'POSITIVE', 'score': 0.9295042157173157}]"
"[{'label': 'POSITIVE', 'score': 0.7744427919387817}]"
"[{'label': 'POSITIVE', 'score': 0.9719823598861694}]"
"[{'label': 'POSITIVE', 'score': 0.925107479095459}]"
"[{'label': 'POSITIVE', 'score': 0.6884196400642395}]"
"[{'label': 'POSITIVE', 'score': 0.8844156265258789}]"
"[{'label': 'POSITIVE', 'score': 0.9927166104316711}]"
"[{'label': 'POSITIVE', 'score': 0.8282840847969055}]"
"[{'label': 'POSITIVE', 'score': 0.99097740650177}]"
"[{'label': 'NEUTRAL', 'score': 0.9314804077148438}]"
"[{'label': 'NEUTRAL', 'score': 0.925214409828186}]"
"[{'label': 'NEUTRAL', 'score': 0.9470723271369934}]"
"[{'label': 'NEUTRAL', 'score': 0.8815005421638489}]"
"[{'label': 'NEUTRAL', 'score': 0.9451953768730164}]"
"[{'label': 'NEUTRAL', 'score': 0.9531962275505066}]"
"[{'label': 'NEUTRAL', 'score': 0.958246111869812}]"
"[{'label': 'NEUTRAL', 'score': 0.9355067610740662}]"
"[{'label': 'POSITIVE', 'score': 0.8620098233222961}]"
"[{'label': 'NEUTRAL', 'score': 0.9620307683944702}]"
"[{'label': 'NEUTRAL', 'score': 0.5961881279945374}]"
"[{'label': 'NEGATIVE', 'score': 0.7078837156295776}]"
"[{'label': 'NEGATIVE', 'score': 0.5609301328659058}]"
"[{'label': 'NEUTRAL', 'score': 0.4607728123664856}]"
"[{'label': 'NEGATIVE', 'score': 0.926637589931488}]"
"[{'label': 'NEGATIVE', 'score': 0.9430526494979858}]"
"[{'label': 'NEUTRAL', 'score': 0.9192334413528442}]"
"[{'label': 'NEUTRAL', 'score': 0.9278478026390076}]"
"[{'label': 'NEGATIVE', 'score': 0.8445719480514526}]"
"[{'label': 'NEUTRAL', 'score': 0.5188077092170715}]"
"[{'label': 'POSITIVE', 'score': 0.9085971713066101}]"
"[{'label': 'POSITIVE', 'score': 0.9922437071800232}]"
"[{'label': 'POSITIVE', 'score': 0.901338517665863}]"
"[{'label': 'POSITIVE', 'score': 0.9955745935440063}]"
"[{'label': 'POSITIVE', 'score': 0.956803023815155}]"
"[{'label': 'POSITIVE', 'score': 0.9934412240982056}]"
"[{'label': 'POSITIVE', 'score': 0.9520045518875122}]"
"[{'label': 'POSITIVE', 'score': 0.8764490485191345}]"
"[{'label': 'POSITIVE', 'score': 0.7746984958648682}]"
"[{'label': 'POSITIVE', 'score': 0.9807726144790649}]"
"[{'label': 'NEUTRAL', 'score': 0.914630115032196}]"
"[{'label': 'NEUTRAL', 'score': 0.9424546360969543}]"
"[{'label': 'NEUTRAL', 'score': 0.9649335145950317}]"
"[{'label': 'NEUTRAL', 'score': 0.9742194414138794}]"
"[{'label': 'NEUTRAL', 'score': 0.9458895325660706}]"
"[{'label': 'NEUTRAL', 'score': 0.9694040417671204}]"
"[{'label': 'NEUTRAL', 'score': 0.9585983753204346}]"
"[{'label': 'NEUTRAL', 'score': 0.9603402018547058}]"
"[{'label': 'NEUTRAL', 'score': 0.9101771116256714}]"
"[{'label': 'NEUTRAL', 'score': 0.9187660813331604}]"
"[{'label': 'NEUTRAL', 'score': 0.6855713129043579}]"
"[{'label': 'NEGATIVE', 'score': 0.6080095171928406}]"
"[{'label': 'NEGATIVE', 'score': 0.5752511620521545}]"
"[{'label': 'NEGATIVE', 'score': 0.8378379940986633}]"
"[{'label': 'NEUTRAL', 'score': 0.8316959142684937}]"
"[{'label': 'NEUTRAL', 'score': 0.6511225700378418}]"
"[{'label': 'NEGATIVE', 'score': 0.8294785022735596}]"
"[{'label': 'POSITIVE', 'score': 0.6585103273391724}]"
"[{'label': 'NEUTRAL', 'score': 0.5427241921424866}]"
"[{'label': 'NEUTRAL', 'score': 0.6830703616142273}]"
"[{'label': 'POSITIVE', 'score': 0.8901275992393494}]"
"[{'label': 'POSITIVE', 'score': 0.9948762059211731}]"
"[{'label': 'POSITIVE', 'score': 0.9886428713798523}]"
"[{'label': 'POSITIVE', 'score': 0.9497545957565308}]"
"[{'label': 'POSITIVE', 'score': 0.9793242812156677}]"
"[{'label': 'POSITIVE', 'score': 0.9422357678413391}]"
"[{'label': 'POSITIVE', 'score': 0.9971936941146851}]"
"[{'label': 'POSITIVE', 'score': 0.9836242198944092}]"
"[{'label': 'POSITIVE', 'score': 0.9941640496253967}]"
"[{'label': 'POSITIVE', 'score': 0.9253972172737122}]"
"[{'label': 'POSITIVE', 'score': 0.9915868043899536}]"
"[{'label': 'POSITIVE', 'score': 0.9691920280456543}]"
"[{'label': 'POSITIVE', 'score': 0.9899489879608154}]"
"[{'label': 'POSITIVE', 'score': 0.9839390516281128}]"
"[{'label': 'POSITIVE', 'score': 0.9891214966773987}]"
"[{'label': 'POSITIVE', 'score': 0.988029420375824}]"
"[{'label': 'POSITIVE', 'score': 0.9888702630996704}]"
"[{'label': 'POSITIVE', 'score': 0.9506658315658569}]"
"[{'label': 'POSITIVE', 'score': 0.9410943388938904}]"
"[{'label': 'POSITIVE', 'score': 0.9925528168678284}]"
"[{'label': 'NEUTRAL', 'score': 0.9520680904388428}]"
"[{'label': 'NEUTRAL', 'score': 0.9667139649391174}]"
"[{'label': 'NEUTRAL', 'score': 0.9813684821128845}]"
"[{'label': 'NEUTRAL', 'score': 0.9662630558013916}]"
"[{'label': 'NEUTRAL', 'score': 0.9435504674911499}]"
"[{'label': 'NEUTRAL', 'score': 0.9440780282020569}]"
"[{'label': 'NEUTRAL', 'score': 0.9762780070304871}]"
"[{'label': 'NEUTRAL', 'score': 0.9413557052612305}]"
"[{'label': 'NEUTRAL', 'score': 0.9587267637252808}]"
"[{'label': 'NEUTRAL', 'score': 0.941862940788269}]"
"[{'label': 'NEUTRAL', 'score': 0.9741756319999695}]"
"[{'label': 'NEUTRAL', 'score': 0.9622089862823486}]"
"[{'label': 'NEUTRAL', 'score': 0.9223814010620117}]"
"[{'label': 'NEUTRAL', 'score': 0.9560448527336121}]"
"[{'label': 'NEUTRAL', 'score': 0.9414190649986267}]"
"[{'label': 'NEUTRAL', 'score': 0.9680546522140503}]"
"[{'label': 'NEUTRAL', 'score': 0.9461206197738647}]"
"[{'label': 'NEUTRAL', 'score': 0.9661567807197571}]"
"[{'label': 'NEUTRAL', 'score': 0.9508262872695923}]"
"[{'label': 'NEUTRAL', 'score': 0.961174726486206}]"
"[{'label': 'NEUTRAL', 'score': 0.6772732734680176}]"
"[{'label': 'NEUTRAL', 'score': 0.7717357873916626}]"
"[{'label': 'NEGATIVE', 'score': 0.5590532422065735}]"
"[{'label': 'NEUTRAL', 'score': 0.5286508798599243}]"
"[{'label': 'NEUTRAL', 'score': 0.6454340219497681}]"
"[{'label': 'NEGATIVE', 'score': 0.6187796592712402}]"
"[{'label': 'NEUTRAL', 'score': 0.8706862330436707}]"
"[{'label': 'NEUTRAL', 'score': 0.5971434116363525}]"
"[{'label': 'NEGATIVE', 'score': 0.6861728429794312}]"
"[{'label': 'NEUTRAL', 'score': 0.9129253625869751}]"
"[{'label': 'NEGATIVE', 'score': 0.6483343243598938}]"
"[{'label': 'NEGATIVE', 'score': 0.887313723564148}]"
"[{'label': 'NEGATIVE', 'score': 0.6294749975204468}]"
"[{'label': 'NEGATIVE', 'score': 0.8660735487937927}]"
"[{'label': 'NEUTRAL', 'score': 0.9240666031837463}]"
"[{'label': 'NEGATIVE', 'score': 0.5998859405517578}]"
"[{'label': 'NEUTRAL', 'score': 0.5451387763023376}]"
"[{'label': 'NEUTRAL', 'score': 0.8405349850654602}]"
"[{'label': 'NEGATIVE', 'score': 0.8566580414772034}]"
"[{'label': 'NEGATIVE', 'score': 0.7840688824653625}]"
"[{'label': 'NEGATIVE', 'score': 0.9468936920166016}]"
